site	device	port	iftype	netbox_description	far_device	far_port	far_role	class	mbps	expected	len	note
CH-STA-L50	CH-STA-L50-L01-CORE01	1/4	1000base-t	FWZONE-HA1	CH-STA-L50-FWZone01	ha	Firewall	USW	1000	USW-1G-FW01_HA	14	
CH-STA-L50	CH-STA-L50-L01-CORE01	1/7	10gbase-x-sfpp	NNI:L50-L01-MGMT01_1/29	CH-STA-L50-L01-MGMT01	1:29	Switch Mgmt	USW	10000	USW-L01-M01_1_29	16	
CH-STA-L50	CH-STA-L50-L01-CORE01	2/1	10gbase-x-sfpp	NNI:L50-Co02:2/1	CH-STA-L50-L01-CORE02	2:1	Switch Core	USW	10000	USW-L01-C02_2_1	15	
CH-STA-L50	CH-STA-L50-L01-CORE01	2/2	10gbase-x-sfpp	NNI:L26-Co01:2/2	CH-STA-L26-L02-CORE01	2:2	Switch Core	USW	10000	USW-L26-C01_2_2	15	
CH-STA-L50	CH-STA-L50-L01-CORE01	2/3	10gbase-x-sfpp	NNI:L26-Co01:2/3	CH-STA-L26-L02-CORE01	2:3	Switch Core	USW	10000	USW-L26-C01_2_3	15	
CH-STA-L50	CH-STA-L50-L01-CORE02	1/10	10gbase-x-sfpp	Backup_SRV_LAN1	CH-STA-P-BACK02	LOM2	Server	US	10000	US-P-BACK02_LOM2	16	
CH-STA-L50	CH-STA-L50-L01-CORE02	1/17	10gbase-x-sfpp	L50-B01-Di01:30	CH-STA-L50-B01-DIST01	30	Switch Dist	USW	10000	USW-B01-D01_30	14	
CH-STA-L50	CH-STA-L50-L01-CORE02	1/18	10gbase-x-sfpp	L50-GFL-Di01:30	CH-STA-L50-GFL-DIST01	30	Switch Dist	USW	10000	USW-GFL-D01_30	14	
CH-STA-L50	CH-STA-L50-L01-CORE02	1/19	10gbase-x-sfpp	L50-GFL-Di02:30	CH-STA-L50-GFL-DIST02	30	Switch Dist	USW	10000	USW-GFL-D02_30	14	
CH-STA-L50	CH-STA-L50-L01-CORE02	1/2	10gbase-x-sfpp	S-FWZONE:X2	CH-STA-L50-FWZone01	x2	Firewall	USW	10000	USW-FW01_X2	11	
CH-STA-L50	CH-STA-L50-L01-CORE02	1/20	10gbase-x-sfpp	L50-L02-Di02:54	CH-STA-L50-L01-DIST01	30	Switch Dist	USW	10000	USW-L01-D01_30	14	
CH-STA-L50	CH-STA-L50-L01-CORE02	1/21	10gbase-x-sfpp	L50-L01-Di01:30	CH-STA-L50-L02-DIST01	53	Switch Dist	USW	10000	USW-L02-D01_53	14	
CH-STA-L50	CH-STA-L50-L01-CORE02	1/22	10gbase-x-sfpp	L42-Co01:2:14	CH-STA-L42-CORE01-1	01:14	Switch Core	USW	10000	USW-L42-C01_1_14	16	
CH-STA-L50	CH-STA-L50-L01-CORE02	1/23	10gbase-x-sfpp	L44-Co01:2:1	CH-STA-L44-L02-CORE01-2	02:01	Switch Core	USW	10000	USW-L44-C01_2_1	15	
CH-STA-L50	CH-STA-L50-L01-CORE02	1/24	10gbase-x-sfpp	NNI:L50-Co01:1/24	CH-STA-L50-L01-CORE01	1:24	Switch Core	USW	10000	USW-L01-C01_1_24	16	
