canary_key	iftype	netbox_description	far_device	far_port	far_role	far_site	far_is_mgmt	link_mbps	class	expected_label	len	headroom	status
CH-STA-L26-GFL-ACCE02::12	1000base-t		CH-STA-L26-GFL-ACPO06	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP06	11	9	ok
CH-STA-L26-GFL-ACCE02::14	1000base-t		CH-STA-L26-L01-ACPO04	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP04	11	9	ok
CH-STA-L26-GFL-ACCE02::15	1000base-t		CH-STA-L26-L01-ACPO05	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP05	11	9	ok
CH-STA-L26-GFL-ACCE02::19	1000base-t		CH-STA-L26-L01-ACPO09	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP09	11	9	ok
CH-STA-L26-GFL-ACCE02::2	1000base-t		CH-STA-L26-GFL-ACPO02	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP02	11	9	ok
CH-STA-L26-GFL-ACCE02::20	1000base-t		CH-STA-L26-L01-ACPO06	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP06	11	9	ok
CH-STA-L26-GFL-ACCE02::24	1000base-t	UPLINK	CH-STA-L26-GFL-DIST02	2	Switch Dist	ch-sta-l26	FALSE	1000	USW	USW-1G-GFL-DI02_P2	18	2	ok
CH-STA-L26-GFL-ACCE02::3	1000base-t		CH-STA-L26-L01-ACPO14	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP14	11	9	ok
CH-STA-L26-GFL-ACCE02::4	1000base-t		CH-STA-L26-L01-ACPO13	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP13	11	9	ok
CH-STA-L26-GFL-ACCE02::5	1000base-t		CH-STA-L26-L01-ACPO12	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-L01-AP12	11	9	ok
CH-STA-L26-GFL-ACCE02::6	1000base-t		CH-STA-L26-GFL-ACPO14	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP14	11	9	ok
CH-STA-L26-GFL-ACCE02::7	1000base-t		CH-STA-L26-GFL-ACPO07	mgmt0	Access Point	ch-sta-l26	TRUE	1000	UP	UP-GFL-AP07	11	9	ok
